marca,anio,kilometraje,combustible,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
PEUGEOT 308 SW 1.5BlueHDi S&S Allure 130,07/2019,86.306 km,Diesel,12 meses,Manual,Stationwagon,5 asientos,130 cv,5 Puertas,gris / Metalizado,13.900 €,"AUTOKIA
Profesional",,No,2025-02-17 11:45:16.334691,ref14974948
PORSCHE Panamera 4 E-Hybrid Aut.,02/2021,58.900 km,Híbrido Enchufable,12 meses,Automático,Berlina,4 asientos,462 cv,5 Puertas,Blanco,88.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:45:24.811764,ref14002891
BMW Serie 4 420iA Gran Coupé,03/2023,13.726 km,Gasolina,24 meses,Automático,Coupe,5 asientos,184 cv,5 Puertas,Negro,48.850 €,"MANDEL MOTOR BADAJOZ
Profesional",,No,2025-02-17 11:45:32.177148,ref14470926
VOLVO S90 D4 Business Plus Aut. 190,07/2020,117.410 km,Diesel,12 meses,Automático,Berlina,5 asientos,190 cv,4 Puertas,Blanco,26.990 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:45:41.384374,ref14402953
BMW X2 sDrive 18d,02/2021,73.013 km,Diesel,24 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Sunset Orange (metalizado),29.900 €,"BMW GRÜNBLAU MOTOR
Profesional",,Si,2025-02-17 11:45:49.463953,ref15148334
FORD Focus 1.0 Ecoboost MHEV ST-Line 125,12/2022,42.712 km,Gasolina,12 meses,Manual,Berlina,5 asientos,125 cv,5 Puertas,gris,20.700 €,"AUTOKIA
Profesional",,No,2025-02-17 11:45:58.992943,ref15040083
PEUGEOT 308 SW 1.5 BlueHDi S&S Allure EAT8 130,08/2022,104.965 km,Diesel,12 meses,Automático,Stationwagon,5 asientos,130 cv,5 Puertas,Blanco,20.500 €,"LOVE CARS
Profesional",,No,2025-02-17 11:46:07.594946,ref14722623
DS 7 Crossback 1.5BlueHDi Be Chic,01/2019,78.260 km,Diesel,12 meses,Manual,Todo Terreno,5 asientos,130 cv,5 Puertas,rojo / Metalizado,20.600 €,"AUTOKIA
Profesional",,No,2025-02-17 11:46:15.517554,ref13845203
FORD F-150 Raptor 3.5L Twin-Turbo EcoBoost,01/2025,1 km,Gasolina,24 meses,Automático,"4x4, SUV o pickup",,450 cv,4 Puertas,Negro Agata Metalizado / Metalizado,156.000 €,"HOUSIN AMERICAN CARS
Profesional",,No,2025-02-17 11:46:22.826915,ref15203798
MERCEDES-BENZ Clase V COMBI 220 d 6D Avantgarde 4MATIC Largo (EURO 6d),12/2023,30 km,Diésel,24 meses,Automático,Pequeño,,163 cv,5 Puertas,blanco ártico,63.900 €,"MERCEDES CANARIAS LAS PALMAS
Profesional",,Si,2025-02-17 11:46:30.400516,ref14852293
VOLKSWAGEN Golf Variant 2.0TDI Advance,10/2019,115.000 km,Diesel,12 meses,Manual,Stationwagon,5 asientos,150 cv,5 Puertas,Oro,17.990 €,"GESTICAR BILBAO
Profesional",,No,2025-02-17 11:46:37.412954,ref14735829
MERCEDES-BENZ Clase CLA 250 e Coupé,09/2023,8.564 km,Híbrido,36 meses,Automático,Pequeño,,160 cv,4 Puertas,Gris montaña metalizado,45.500 €,"MERCEDES COVISA
Profesional",,Si,2025-02-17 11:46:44.738953,ref14816387
CITROEN C4 1.6 VTi Business,10/2011,171.845 km,Gasolina,12 meses,Manual,Berlina,5 asientos,120 cv,5 Puertas,Gris / Metalizado,9.900 €,"GRUPO JULIAN AUTOMOTIVE Ocasión
Profesional",,No,2025-02-17 11:46:52.298141,ref14640817
OPEL Corsa 1.2 XEL 55KW EDITION 75 5P,03/2023,48.492 km,Gasolina,12 meses,Manual,Berlina mediana o grande,,75 cv,5 Puertas,BLANCO,"15.900 €
8%
14.700 €","GAURSA
Profesional",,No,2025-02-17 11:47:00.388697,ref14609344
BMW X2 xDrive 25eA M Sport,07/2021,57.191 km,Híbrido Enchufable,12 meses,Automático,Todo Terreno,5 asientos,220 cv,5 Puertas,Naranja / Metalizado,33.990 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:47:08.329381,ref14418153
