nombre,calle,municipio,provincia,codigo_postal
ASTURJAVE,"Avenida Del Zinc 51,",Asturias,Asturias,33490
ASV Motor,Calle Picasso Nº50,Palafrugell,Girona,17200
ASV MOTORSPORT,Vicente Aleixandre 15,Salinas,Alicante,3638
"ATHLON CAR LEASE SPAIN,S.A.",Crta.nacional 152-Z Km.16,Santa perpetua de la mogoda,Barcelona,08130
ATHLON CAR LEASE SPAIN.,Camino De Los Malatones S/N,Algete,Madrid,28110
Atlantic machinery equipment Sl,Avenida Europa 15,Cerdanyola del valles,,08290
ATLANTICENT,"C. Doctor Fleming 61, P.1,",Castelldefels,Barcelona,08860
ATM AUTOMOCION,Camí Del Mig 49,Cabrera de mar,Barcelona,08349
"ATURSA AUTOMOCION, acuerdo Ford",Avenida Ausias March 81,Valencia,Valencia,46013
AUCALGA,Carretera De La Estacion Nº 4- Nave 20,Siero,Asturias,33429
AUDI ALZAGA MOTOR,"Ctra. Bilbao-Galdakao, 28",Bilbao,Vizcaya,48004
AUDI ALZAGA MOTOR - VITORIA,Alto De Armentia 8,Vitoria-gasteiz,Álava,01007
AUDI CENTER PALMA,Camino Viejo De Bunyola 19,Palma de mallorca,Islas baleares,07009
AUDI CENTER ZARAGOZA,C/ Langa Del Castillo 10,Zaragoza,Zaragoza,50013
AUDI HELMANTICA SALAMANCA,"Calzada De Toro, 37-45",Villares de la reina,Salamanca,37184
AUDI HELMANTICA VN,"Calzada De Toro, 37-45",Villares de la reina,Salamanca,37184
AUDI HUERTAS MOTOR CARTAGENA,"Avenida Juan Carlos I, 80",Cartagena,Murcia,30313
AUDI HUERTAS MOTOR MURCIA,"Avda. Juan Carlos I,45",Murcia,Murcia,30100
AUDI HUESCA IMPORT VN,"Av. De Pebrero, 7-9",Huesca,Huesca,2197
AUDI SEALCO MOTOR I,"Calle Colombia, 1",Alcorcón,Madrid,28922
AUDI SELECTION PLUS,"Ctra. Sta. Coloma De Farnes, 59-65",Girona,Girona,17005
AUDI VILAMÒBIL,Carretera De Valencia Km. 224,Tarragona,Tarragona,43006
AUDILLISA,Carretera Madrid (Km 425),Peligros,Granada,18210
AUNORSA,"Ctra De Granada , Km 267",Lorca,Murcia,30800
AUPASA OCASION PALENCIA,"Avenida De Madrid, 2",Palencia,Palencia,34004
"AURA MOTOR, Concesionario Oficial TOYOTA",Carretera Santa Coloma S/N,Les preses,Girona,17178
AURUM AUTOMOVILES,"Av. De Benieto, 2, Nave 8",Gandia,Valencia,46702
AUTERSA CASTELLÓN,"Avd. Vall D'uxo, 44",Castellón,Castellón,12004
"AUTO 1 GESTION INTEGRAL, S.L.",C/Plomo 9,San martin de la vega,Madrid,28330
AUTO 22,"Del Treball, 2 Nave 19 Montcada I Reixac Barcelona",Montcada,Barcelona,08110
AUTO ALEX PERFORMANCE,C/ Zamora Nº30,Vigo,Pontevedra,36418
Auto Almendra,Avenida De La Libertad 15-17,Novelda,Alicante,3660
AUTO BENAMAR,San Joaquin 115,Santa coloma de gramenet,Barcelona,08921
AUTO BOSS,Calle Comercio 1,Mairena del aljarafe,Sevilla,41927
AUTO BOSS V.N.,Calle Diseño 7,Mairena del aljarafe,Sevilla,41927
AUTO BRIBON,"C/ Cami Del Mig, 21",Cabrera del mar,Barcelona,08349
AUTO CAMBRILS,Calle Metal-Lurgia 15 Cambrils (Tarragona) Polígono Belianes,Tarragona,Tarragona,43850
AUTO CARS EXPORT,Calle Zarzuela 1 Poligono Industrial El Cordel.,Fuenlabrada,Madrid,28944
AUTO CATALUNYA,P.i. La Ravaleta Parc. 1.9,Tortosa,Tarragona,43500
AUTO COLLECTION IBIZA ..,Finca Can Maxi - Cana Lali,Sant jordi,Islas baleares,07817
AUTO CONSIGLIERE,Manuel Rojas Torres 28,Badajoz,Badajoz,06008
AUTO COSTA BRAVA,Tarragona 4,Rosas,Girona,17780
AUTO DIAGONAL,C/ Sardenya N? 254,Barcelona,Barcelona,8013
AUTO DINAMIC,Calle Tomás Redondo 2,Madrid,Madrid,28033
AUTO DISEÑO 99,Marqués Del Turia 99,Benetusser,Valencia,46910
AUTO DMD CARE,C/Julio Palacios Nº27,Madrid,Madrid,28029
AUTO ELAND BARCELONA,Avenida De Sarria 11,Barcelona,Barcelona,08029
AUTO ELAND MADRID,"Calle Doctor Castelo, 44",Madrid,Madrid,28009
AUTO ELECTRICIDAD ARREGUI,"Portal De Betoño, 13",Vitoria,Álava,01013
AUTO ELIA VN,"C/ Arturo Soria,99 Esq. Calle Calidon",Madrid,Madrid,28043
"AUTO ELIA, Volvo (SEDE PRINCIPAL)","Vía Complutense, 121",Alcalá de henares,Madrid,28805
AUTO ESPLUGUES,C/ Verge De Guadalupe 4,Esplugues de llobregat,Barcelona,08950
AUTO EXCLUSIVE,"Carrer De Provença, 31 Local",Barcelona,Barcelona,8029
Auto Export Magerit,Fuentes Claras 2,Galapar,Madrid,28260
AUTO FECARSA,"C/ Del Cid 20 Rambla Del Carmen (Cabezo De Torres),",Murcia,Murcia,30110
AUTO FERNANDEZ,"C/Moja, 15",Vilafranca del penedés,Barcelona,08720
AUTO GO OCASION,"C/ Narciso Monturiol 1, Nave 3",Valdemoro,Madrid,28341
AUTO GONSE,Pol. Ind. Las Casas Calle F. Parcela 200A,Soria,Soria,42005
AUTO GRUAS ORIENTE,San Roque Del Acebal S/N,Llanes,Asturias,33596
AUTO IN SPAIN,"Calle Estaño, Num 16",San vicente del raspeig,Alicante,03690
AUTO JACRE,Calle Francisco Umbral 5 - Nave 18,Valladolid,Valladolid,47016
"AUTO JUPITER, concesionario oficial Ford","Ctra De Granada , Km 267",Lorca,Murcia,30800
AUTO KARMA,.,Benalmadena,Málaga,29630
AUTO LLAMAS IMPORT,Visitas Concertadas,Sabadell,Barcelona,08207
AUTO LLAVERIA,C/ Garbí 16,Argentona,Barcelona,08310
AUTO MARTIN ALCAÑIZ,Avenida De Zaragoza 34,Alcañiz,Teruel,44600
AUTO MORER,Avda Catalunya N40,Puigcerda,Girona,17520
AUTO MOTOR CIUDAD REAL,"Nacional 430 , Parcela 24-26 Nave 1",Carrión de calatrava,Ciudad real,13150
AUTO MOTOR RUIZ 2014,Carretera Abusejo 49,Tamames,Salamanca,37600
AUTO MÜLLER,"C/ Freser 11, Bajos",Barcelona,Barcelona,8026
AUTO OJA VN T,Apartado De Correos 1032,Logroño,La rioja,26080
"AUTO OJA, S.A.",Apartado De Correos 1032,Logroño,La rioja,26140
AUTO OUTLET MURCIA,"C/ Del Rio Eo, 2 - P.ind. Saladar ( Junto A La Autovia)",Lorqui,Murcia,30564
AUTO PALAS,"C/ Avda. Parayas, 20.",Santander,Cantabria,39011
Auto Prestigio 2022,"Purisima, 1 - Bj Loc 3",Torrevieja,Alicante,03182
AUTO RAMOS,"Av. Barcelona, 194",Terrassa,Barcelona,08222
Auto Recambios 4x4,-Pujades 104,Barcelona,Barcelona,08015
AUTO REPARACIO VOLTREGA,Calle Batlle Serrallonga 19,Sant hipolit de voltrega,Barcelona,08512
AUTO REPARACIONS JORDI,"Av. Alt Urgell, 117",Lleida,Lleida,25790
AUTO ROMA 94,"Avda. Cerdanyola, 88",San cugat del valles,Barcelona,08173
AUTO SALON VILLANUEVA,"Av. Del Albir, 165",Alfaz del pi,Alicante,03581
Auto Selec Totana,"Poligono Parque Industrial Alhama, Subsector C Nav 2,","Alhama de murcia, ,",Murcia,30840
AUTO SELECT EDITION,Calle Blas De Otero 4 Poligono Industrial Les Brugueres,Palafrugell,Girona,17200
AUTO SPEED,-,Vilanova y la geltru,Barcelona,8800
AUTO SPORT MORALEJA,"C/ Fresadores, 33 P.i. Valdefuentes",Arroyomolinos,Madrid,28939
AUTO SPRINT,"Calle Milanos,8Nave 6 P.i. La Estación",Pinto,Madrid,28320
AUTO STAR,C/ De Burriana 66,Barajas,Madrid,28042
AUTO STEFAN,C/ Blas Cabrera N.º 9 Nave A5,Alcalá de henares,Madrid,28805
AUTO STORE 80,"Calle Esglesia Romanica,Nº 11",Sabadell,Barcelona,08204
AUTO STORICA,"Av. De La Marina, 20",Sant boi de llobregat,Barcelona,8830
AUTO SUCRO,"Sueca,32",Cullera,Valencia,46400
AUTO TALLER EMILI BOSCH,Calle Pere Girones 4,Santa cristina de aro,Girona,17246
AUTO TALLERES SERRANO,"C/ De Jose Luis Boreau,13",Zaragoza,Zaragoza,50018
