nombre,calle,municipio,provincia,codigo_postal
AUDI HUERTAS MOTOR MURCIA,"Avda. Juan Carlos I,45",Murcia,Murcia,30100.0
AUDI HUESCA IMPORT VN,"Av. De Pebrero, 7-9",Huesca,Huesca,2197.0
AUDI SEALCO MOTOR I,"Calle Colombia, 1",Alcorcón,Madrid,28922.0
AUDI SELECTION PLUS,"Ctra. Sta. Coloma De Farnes, 59-65",Girona,Girona,17005.0
AUDI VILAMÒBIL,Carretera De Valencia Km. 224,Tarragona,Tarragona,43006.0
AUDILLISA,Carretera Madrid (Km 425),Peligros,Granada,18210.0
AUNORSA,"Ctra De Granada , Km 267",Lorca,Murcia,30800.0
AUPASA OCASION PALENCIA,"Avenida De Madrid, 2",Palencia,Palencia,34004.0
"AURA MOTOR, Concesionario Oficial TOYOTA",Carretera Santa Coloma S/N,Les preses,Girona,17178.0
AURUM AUTOMOVILES,"Av. De Benieto, 2, Nave 8",Gandia,Valencia,46702.0
AUTERSA CASTELLÓN,"Avd. Vall D'uxo, 44",Castellón,Castellón,12004.0
"AUTO 1 GESTION INTEGRAL, S.L.",C/Plomo 9,San martin de la vega,Madrid,28330.0
AUTO 22,"Del Treball, 2 Nave 19 Montcada I Reixac Barcelona",Montcada,Barcelona,8110.0
AUTO ALEX PERFORMANCE,C/ Zamora Nº30,Vigo,Pontevedra,36418.0
Auto Almendra,Avenida De La Libertad 15-17,Novelda,Alicante,3660.0
AUTO BENAMAR,San Joaquin 115,Santa coloma de gramenet,Barcelona,8921.0
AUTO BOSS,Calle Comercio 1,Mairena del aljarafe,Sevilla,41927.0
AUTO BOSS V.N.,Calle Diseño 7,Mairena del aljarafe,Sevilla,41927.0
AUTO BRIBON,"C/ Cami Del Mig, 21",Cabrera del mar,Barcelona,8349.0
AUTO CAMBRILS,Calle Metal-Lurgia 15 Cambrils (Tarragona) Polígono Belianes,Tarragona,Tarragona,43850.0
AUTO CARS EXPORT,Calle Zarzuela 1 Poligono Industrial El Cordel.,Fuenlabrada,Madrid,28944.0
AUTO CATALUNYA,P.i. La Ravaleta Parc. 1.9,Tortosa,Tarragona,43500.0
AUTO COLLECTION IBIZA ..,Finca Can Maxi - Cana Lali,Sant jordi,Islas baleares,7817.0
AUTO CONSIGLIERE,Manuel Rojas Torres 28,Badajoz,Badajoz,6008.0
AUTO COSTA BRAVA,Tarragona 4,Rosas,Girona,17780.0
AUTO DIAGONAL,C/ Sardenya N? 254,Barcelona,Barcelona,8013.0
AUTO DINAMIC,Calle Tomás Redondo 2,Madrid,Madrid,28033.0
AUTO DISEÑO 99,Marqués Del Turia 99,Benetusser,Valencia,46910.0
AUTO DMD CARE,C/Julio Palacios Nº27,Madrid,Madrid,28029.0
AUTO ELAND BARCELONA,Avenida De Sarria 11,Barcelona,Barcelona,8029.0
AUTO ELAND MADRID,"Calle Doctor Castelo, 44",Madrid,Madrid,28009.0
AUTO ELECTRICIDAD ARREGUI,"Portal De Betoño, 13",Vitoria,Álava,1013.0
AUTO ELIA VN,"C/ Arturo Soria,99 Esq. Calle Calidon",Madrid,Madrid,28043.0
"AUTO ELIA, Volvo (SEDE PRINCIPAL)","Vía Complutense, 121",Alcalá de henares,Madrid,28805.0
AUTO ESPLUGUES,C/ Verge De Guadalupe 4,Esplugues de llobregat,Barcelona,8950.0
AUTO EXCLUSIVE,"Carrer De Provença, 31 Local",Barcelona,Barcelona,8029.0
Auto Export Magerit,Fuentes Claras 2,Galapar,Madrid,28260.0
AUTO FECARSA,"C/ Del Cid 20 Rambla Del Carmen (Cabezo De Torres),",Murcia,Murcia,30110.0
AUTO FERNANDEZ,"C/Moja, 15",Vilafranca del penedés,Barcelona,8720.0
AUTO GO OCASION,"C/ Narciso Monturiol 1, Nave 3",Valdemoro,Madrid,28341.0
AUTO GONSE,Pol. Ind. Las Casas Calle F. Parcela 200A,Soria,Soria,42005.0
AUTO GRUAS ORIENTE,San Roque Del Acebal S/N,Llanes,Asturias,33596.0
AUTO IN SPAIN,"Calle Estaño, Num 16",San vicente del raspeig,Alicante,3690.0
AUTO JACRE,Calle Francisco Umbral 5 - Nave 18,Valladolid,Valladolid,47016.0
"AUTO JUPITER, concesionario oficial Ford","Ctra De Granada , Km 267",Lorca,Murcia,30800.0
AUTO KARMA,.,Benalmadena,Málaga,29630.0
AUTO LLAMAS IMPORT,Visitas Concertadas,Sabadell,Barcelona,8207.0
AUTO LLAVERIA,C/ Garbí 16,Argentona,Barcelona,8310.0
AUTO MARTIN ALCAÑIZ,Avenida De Zaragoza 34,Alcañiz,Teruel,44600.0
AUTO MORER,Avda Catalunya N40,Puigcerda,Girona,17520.0
AUTO MOTOR CIUDAD REAL,"Nacional 430 , Parcela 24-26 Nave 1",Carrión de calatrava,Ciudad real,13150.0
AUTO MOTOR RUIZ 2014,Carretera Abusejo 49,Tamames,Salamanca,37600.0
AUTO MÜLLER,"C/ Freser 11, Bajos",Barcelona,Barcelona,8026.0
AUTO OJA VN T,Apartado De Correos 1032,Logroño,La rioja,26080.0
"AUTO OJA, S.A.",Apartado De Correos 1032,Logroño,La rioja,26140.0
AUTO OUTLET MURCIA,"C/ Del Rio Eo, 2 - P.ind. Saladar ( Junto A La Autovia)",Lorqui,Murcia,30564.0
AUTO PALAS,"C/ Avda. Parayas, 20.",Santander,Cantabria,39011.0
Auto Prestigio 2022,"Purisima, 1 - Bj Loc 3",Torrevieja,Alicante,3182.0
AUTO RAMOS,"Av. Barcelona, 194",Terrassa,Barcelona,8222.0
Auto Recambios 4x4,-Pujades 104,Barcelona,Barcelona,8015.0
AUTO REPARACIO VOLTREGA,Calle Batlle Serrallonga 19,Sant hipolit de voltrega,Barcelona,8512.0
AUTO REPARACIONS JORDI,"Av. Alt Urgell, 117",Lleida,Lleida,25790.0
AUTO ROMA 94,"Avda. Cerdanyola, 88",San cugat del valles,Barcelona,8173.0
AUTO SALON VILLANUEVA,"Av. Del Albir, 165",Alfaz del pi,Alicante,3581.0
Auto Selec Totana,"Poligono Parque Industrial Alhama, Subsector C Nav 2,","Alhama de murcia, ,",Murcia,30840.0
AUTO SELECT EDITION,Calle Blas De Otero 4 Poligono Industrial Les Brugueres,Palafrugell,Girona,17200.0
AUTO SPEED,-,Vilanova y la geltru,Barcelona,8800.0
AUTO SPORT MORALEJA,"C/ Fresadores, 33 P.i. Valdefuentes",Arroyomolinos,Madrid,28939.0
AUTO SPRINT,"Calle Milanos,8Nave 6 P.i. La Estación",Pinto,Madrid,28320.0
AUTO STAR,C/ De Burriana 66,Barajas,Madrid,28042.0
AUTO STEFAN,C/ Blas Cabrera N.º 9 Nave A5,Alcalá de henares,Madrid,28805.0
